area,date,revenue
United States and Canada,Q1 - 2018," 1,976,157,000.00 "
United States and Canada,Q2 - 2018," 2,049,546,000.00 "
United States and Canada,Q3 - 2018," 2,094,850,000.00 "
United States and Canada,Q4 - 2018," 2,160,979,000.00 "
United States and Canada,Q1 - 2019," 2,256,851,000.00 "
United States and Canada,Q2 - 2019," 2,501,199,000.00 "
United States and Canada,Q3 - 2019," 2,621,250,000.00 "
United States and Canada,Q4 - 2019," 2,671,908,000.00 "
United States and Canada,Q1 - 2020," 2,702,776,000.00 "
United States and Canada,Q2 - 2020," 2,839,670,000.00 "
"Europe, Middle East, and Africa",Q1 - 2018," 886,649,000.00 "
"Europe, Middle East, and Africa",Q2 - 2018," 975,497,000.00 "
"Europe, Middle East, and Africa",Q3 - 2018," 1,004,749,000.00 "
"Europe, Middle East, and Africa",Q4 - 2018," 1,096,812,000.00 "
"Europe, Middle East, and Africa",Q1 - 2019," 1,233,379,000.00 "
"Europe, Middle East, and Africa",Q2 - 2019," 1,319,087,000.00 "
"Europe, Middle East, and Africa",Q3 - 2019," 1,428,040,000.00 "
"Europe, Middle East, and Africa",Q4 - 2019," 1,562,561,000.00 "
"Europe, Middle East, and Africa",Q1 - 2020," 1,723,474,000.00 "
"Europe, Middle East, and Africa",Q2 - 2020," 1,892,537,000.00 "
Latin America,Q1 - 2018," 540,182,000.00 "
Latin America,Q2 - 2018," 568,071,000.00 "
Latin America,Q3 - 2018," 562,307,000.00 "
Latin America,Q4 - 2018," 567,137,000.00 "
Latin America,Q1 - 2019," 630,472,000.00 "
Latin America,Q2 - 2019," 677,136,000.00 "
Latin America,Q3 - 2019," 741,434,000.00 "
Latin America,Q4 - 2019," 746,392,000.00 "
Latin America,Q1 - 2020," 793,453,000.00 "
Latin America,Q2 - 2020," 785,368,000.00 "
Asia-Pacific,Q1 - 2018," 199,117,000.00 "
Asia-Pacific,Q2 - 2018," 221,252,000.00 "
Asia-Pacific,Q3 - 2018," 248,691,000.00 "
Asia-Pacific,Q4 - 2018," 276,756,000.00 "
Asia-Pacific,Q1 - 2019," 319,602,000.00 "
Asia-Pacific,Q2 - 2019," 349,494,000.00 "
Asia-Pacific,Q3 - 2019," 382,304,000.00 "
Asia-Pacific,Q4 - 2019," 418,121,000.00 "
Asia-Pacific,Q1 - 2020," 483,660,000.00 "
Asia-Pacific,Q2 - 2020," 569,140,000.00 "
